image_id,filepath,borough,road_type,sample_latitude,sample_longitude,latitude,longitude,compass_angle,captured_at,source,sky_fraction,greenery_present,greenery_density,building_height_ratio,traffic_intensity,pedestrian_activity,surface_condition,lighting,height_enc,traffic_enc,pedestrian_enc,greenery_enc,surface_enc,light_enc,green_bin,stress,calm,vitality,enclosure,safety,desolation,scene_description,vader_neg,vader_neu,vader_pos,vader_compound,roberta_neg,roberta_neu,roberta_pos,vader_negativity,negativity_index
2567577653535954,images/Kingston_upon_Thames/2567577653535954.jpg,Kingston upon Thames,unknown,51.35108956514064,-0.3054504772637129,51.351651088914,-0.31289019257679,13.042663572739,1499686461379,Mapillary,0.6,True,medium,low,light,none,fair,bright,1,1,0,2,1,3,1,3.9,6.1,3.7,3.6,5.2,6.0,A road intersection with traffic lights and a white van driving away from the camera. There are trees and a blue sky with clouds in the background.,0.0,1.0,0.0,0.0,0.03563890978693962,0.7889469861984253,0.17541413009166718,0.5,0.2678194548934698
227868632440032,images/Kingston_upon_Thames/227868632440032.jpg,Kingston upon Thames,unknown,51.401413691113234,-0.2629923563742473,51.403124516731,-0.26111532102954,277.30776977539,1414503548000,Mapillary,0.1,True,high,low,none,low,good,bright,1,0,1,3,2,3,1,2.7,7.0,6.0,5.6,7.5,3.7,"A tree-lined paved path with a grassy verge and a low wall on one side, with a person walking in the distance.",0.11,0.89,0.0,-0.2732,0.02290220372378826,0.9181934595108032,0.05890442803502083,0.6366,0.32975110186189416
1101120203722336,images/Kingston_upon_Thames/1101120203722336.jpg,Kingston upon Thames,unknown,51.34838485785573,-0.3283148091218595,51.351438251713,-0.33062305057113,58.69677734375,1545651013361,Mapillary,0.6,True,low,low,moderate,none,good,normal,1,2,0,1,2,2,1,4.9,4.5,3.3,3.6,4.8,6.0,"A multi-lane highway with cars driving on it, surrounded by trees and greenery on the left side, under a blue sky with some clouds.",0.0,1.0,0.0,0.0,0.00713704526424408,0.6142727136611938,0.3785901963710785,0.5,0.25356852263212204
220316326204880,images/Kingston_upon_Thames/220316326204880.jpg,Kingston upon Thames,unknown,51.38679236579104,-0.2709593655527894,51.387736456244,-0.27149083664975,44.678802490234,1612180724046,Mapillary,0.5,True,low,medium,moderate,low,fair,dim,2,2,1,1,1,1,1,6.4,3.8,3.3,6.0,3.3,6.7,A multi-story red brick building with white trim stands on a street corner. The street has multiple lanes and is divided by a median. There are trees and other buildings in the background. A few pedestrians are walking on the sidewalk. The sky is overcast.,0.0,1.0,0.0,0.0,0.040796685963869095,0.8179875612258911,0.14121580123901367,0.5,0.27039834298193455
160502959355506,images/Kingston_upon_Thames/160502959355506.jpg,Kingston upon Thames,unknown,51.39171106949141,-0.3104732840115005,51.392384726459,-0.31032069533074,213.63946533203,1606489867752,Mapillary,0.5,True,low,medium,moderate,none,fair,normal,2,2,0,1,1,2,1,6.4,3.8,2.7,6.0,3.7,7.0,"A street scene with buildings on both sides, a clock tower in the distance, and several cars on the road.",0.0,1.0,0.0,0.0,0.03401651605963707,0.8831619620323181,0.0828215479850769,0.5,0.26700825802981853
959074618258183,images/Kingston_upon_Thames/959074618258183.jpg,Kingston upon Thames,unknown,51.40379290032379,-0.2566115153764509,51.403991435654,-0.25649186532532,173.06860351562,1414503649000,Mapillary,0.2,True,medium,low,none,none,fair,bright,1,0,0,2,1,3,1,3.4,5.6,3.7,5.2,5.7,6.0,"A blurry view from behind a window showing a sidewalk, a metal fence, trees, and buildings across the street. A white door with a brick wall is on the right side.",0.055,0.945,0.0,-0.1027,0.08952188491821289,0.8689669370651245,0.041511170566082,0.55135,0.32043594245910645
491001102324302,images/Kingston_upon_Thames/491001102324302.jpg,Kingston upon Thames,unknown,51.33705235212523,-0.3222227163858271,51.337179560097,-0.32029999116505,195.06346130371,1606491124825,Mapillary,0.7,True,low,low,moderate,none,good,dim,1,2,0,1,2,1,1,4.8,4.8,2.3,3.2,3.8,7.0,A suburban road with a row of brick houses on one side and a grassy area with trees on the other. A white van and several cars are parked or driving along the road.,0.0,1.0,0.0,0.0,0.07444372773170471,0.8795056343078613,0.04605063796043396,0.5,0.28722186386585236
289061366138812,images/Kingston_upon_Thames/289061366138812.jpg,Kingston upon Thames,unknown,51.39331574954115,-0.2527769111364147,51.393563333333,-0.25321333333329,359.28149354458,1489859338633,Mapillary,0.7,True,low,low,light,low,fair,dim,1,1,1,1,1,1,1,4.1,5.1,3.3,3.2,3.8,6.7,A street scene with a red brick road and a car driving away from the camera. The road is lined with houses and trees on both sides. A bus stop and a trash can are visible on the left side of the road. The sky is cloudy.,0.051,0.949,0.0,-0.296,0.19298705458641052,0.7255921959877014,0.08142071962356567,0.648,0.42049352729320527
2548739012094864,images/Kingston_upon_Thames/2548739012094864.jpg,Kingston upon Thames,unknown,51.40729874143344,-0.2564910698964898,51.404744778983,-0.25254673129297,298.7646484375,1414503734000,Mapillary,0.0,True,high,low,none,none,poor,bright,1,0,0,3,0,3,1,3.8,6.0,3.0,6.0,4.5,7.0,Blurry image with foliage and greenery in the foreground and background. A building is partially visible but indistinct due to the blurriness.,0.057,0.943,0.0,-0.0516,0.27335765957832336,0.6275097131729126,0.09913261234760284,0.5258,0.3995788297891617
852274959737479,images/Kingston_upon_Thames/852274959737479.jpg,Kingston upon Thames,unknown,51.387580166046696,-0.2959267856767209,51.3871308,-0.29677810000266,165.24712300301,1687276231271,Mapillary,0.5,True,medium,low,light,none,good,normal,1,1,0,2,2,2,1,3.6,6.2,3.3,4.0,5.3,6.0,"A suburban street with a sidewalk, a double yellow-lined road, and trees and bushes lining the sidewalk. A multi-story building is visible on the left. The road has a few cars and appears to be well-maintained.",0.0,1.0,0.0,0.0,0.006940414663404226,0.52988201379776,0.4631776213645935,0.5,0.2534702073317021
